TITLE,YOUTUBE_URL,START_TIME,END_TIME,SAMPLE_TYPE,DESCRIPTION,GENRE,DECADE,START_SECONDS,END_SECONDS,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,RESOLUTION,QUERY_USED,TIMESTAMP_LOADED,YOUTUBE_RANK,VIDEO_DURATION,ARTIST,CHATGPT_PROMPT
Gil Scott-Heron -- The Bottle (Official Version),https://www.youtube.com/watch?v=EdhoX1Xu6ZI,,,instrumental section,"This video likely contains the official version of 'The Bottle' by Gil Scott-Heron, a track known for its rich instrumentation and socially conscious lyrics. The song features a prominent bassline, rhythmic percussion, and soulful vocals, making it a valuable resource for music producers looking for sample-worthy elements such as instrumental grooves or vocal snippets.",Soul,1970s,0,0,268,4687416,57788,2359,480x360,Gil Scott-Heron,2025-04-14 12:27:54.059 Z,1,0,Gil Scott-Heron,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
"Bernard ""Pretty"" Purdie Funky Groovy Jam Session",https://www.youtube.com/watch?v=5DyC02BM_P4,,,live performance,"This video likely contains a live performance featuring Bernard 'Pretty' Purdie, a renowned drummer known for his groove and rhythmic innovation. The jam session format suggests there are extended instrumental sections with rich drum patterns, potentially useful for sampling intricate drum grooves or isolated percussion.",Funk,1970s,0,0,245,1304135,15109,736,480x360,Bernard Purdie,2025-04-14 12:27:54.059 Z,1,0,Bernard 'Pretty' Purdie,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Dreaming About You,https://www.youtube.com/watch?v=lKFnjYhKIvg,,,isolated vocals,The video likely contains a romantic pop ballad with potential for sampling smooth vocals and melodic instrumental sections. It can be useful for producers looking for emotional hooks or vocal samples in a modern pop production.,Pop,1990s,0,0,353,3074505,53930,422,480x360,The Blackbyrds,2025-04-14 12:27:54.059 Z,1,0,Selena,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Sandro Giacobbe - Tu mi cielo y mi alma,https://www.youtube.com/watch?v=0NwFmyQHFvw,,,instrumental section,"This video likely contains a classic Italian pop song from the 1970s. Such tracks are valuable for their melodic hooks, emotional vocal lines, and lush instrumental arrangements which can be sampled for creating new pop or hip-hop tracks.",Pop,1970s,0,0,306,1604247,9652,610,480x360,Sandro Giacobbe,2025-04-14 12:27:54.059 Z,1,0,Sandro Giacobbe,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
The Gloaming,https://www.youtube.com/watch?v=Qh_iXvllR6E,,,instrumental section,"The video likely contains an atmospheric and experimental rock track with intricate soundscapes, making it suitable for sampling ambient textures and unique instrumental sections.",Rock,2000s,0,0,213,889067,9067,231,480x360,The Gloaming,2025-04-14 12:27:11.402 Z,1,0,Radiohead,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
"Yo-Yo Ma - Bach: Cello Suite No. 1 in G Major, Prélude (Official Video)",https://www.youtube.com/watch?v=1prweT95Mo0,,,instrumental section,"This video likely features Yo-Yo Ma performing the Prélude from Bach's Cello Suite No. 1, which is a solo cello piece. The sampling potential for a music producer would be in using the rich, emotive cello lines as instrumental sections or for creating atmospheric layers in a new composition.",Classical,1720s,0,0,196,22494546,345821,8119,480x360,Yo-Yo Ma,2025-04-14 12:27:11.402 Z,1,0,Yo-Yo Ma,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
"Kodo - ""O-Daiko"" - HD (japanese drummers - Taiko - tambours géants Japon)",https://www.youtube.com/watch?v=C7HL5wYqAbU,,,isolated percussion,"The video likely features a traditional Japanese drumming performance by the Kodo ensemble, showcasing powerful and rhythmic taiko drumming. This can be highly useful for music producers looking for unique and dynamic percussion elements to incorporate into their tracks. The isolated percussion from the taiko drums can add a distinct cultural and rhythmic flair to various musical projects.",World Music,2000s,0,0,505,22006820,214555,6957,480x360,Kodo,2025-04-14 12:27:11.402 Z,1,0,Kodo,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
Béla Fleck - Wheels Up (Live),https://www.youtube.com/watch?v=6wQ3dAg_cpQ,,,live performance,"This live performance by Béla Fleck likely features intricate banjo playing and a blend of bluegrass with other musical influences. The video could be useful for sampling unique instrumental sections or live performance elements, offering a rich tapestry of sounds for a music producer.",Bluegrass,2020s,0,0,364,376645,6271,374,480x360,Béla Fleck,2025-04-14 12:27:11.402 Z,1,0,Béla Fleck,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
Toumani Diabaté & Sidiki Diabaté - Jarabi,https://www.youtube.com/watch?v=-cLAwAOi-hA,,,instrumental section,"The video likely contains a performance featuring traditional African instruments, particularly the kora, showcasing intricate melodies and rhythms that could be useful for creating unique textures and layers in a music production.",World Music,2010s,0,0,242,4277535,45602,1346,480x360,Toumani Diabaté,2025-04-14 12:27:11.402 Z,1,0,Toumani Diabaté & Sidiki Diabaté,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
"Los Ángeles Azules, Alejandro Fernández - La Cumbia Triste (Video Oficial)",https://www.youtube.com/watch?v=ktEm3Mj_g1I,,,instrumental section,"This video likely contains a modern rendition of traditional cumbia music, featuring lively rhythms and possibly a fusion with Alejandro Fernández's style. It is useful for sampling due to its upbeat tempo and potential instrumental sections that highlight the characteristic accordion and percussion elements of cumbia.",Cumbia,2020s,0,0,212,9296053,51907,1561,480x360,cumbia legends like Los Angeles Azules,2025-04-14 12:26:06.772 Z,1,0,"Los Ángeles Azules, Alejandro Fernández","Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Baaba Maal - bouyel,https://www.youtube.com/watch?v=JzU_CUK1VKk,,,isolated vocals,"This video likely contains traditional and contemporary African music elements, characterized by rich vocal performances and intricate instrumental work. Sampling potential includes unique vocal lines, rhythmic drum patterns, and melodic instrumentals typical of African music, useful for adding an authentic world music flavor to modern productions.",World Music,1990s,0,0,261,2887098,15424,1051,480x360,Baaba Maal,2025-04-14 12:26:06.772 Z,1,0,Baaba Maal,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Chembo and Friends - Oye! Como Va?,https://www.youtube.com/watch?v=4pRlRU-LLDE,,,live performance,"This video likely features a live performance of 'Oye! Como Va?', a classic Latin Jazz tune. The potential for sampling includes capturing the vibrant and rhythmic instrumental sections, as well as the energetic live performance atmosphere.",Latin Jazz,2000s,0,0,341,324432,4307,143,480x360,Latin Percussion,2025-04-15 22:00:02.191 Z,1,0,Chembo and Friends,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
globalBEAT: monday morning,https://www.youtube.com/watch?v=1eQLjebj-Oo,,,instrumental section,"The video likely features a fusion of global musical influences, ideal for sampling unique rhythms and melodies that could add an international flair to a music production.",World Music,2020s,0,0,353,6792,49,9,480x360,GlobalBeat,2025-04-15 22:00:02.191 Z,1,0,globalBEAT,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
Amiga da Minha Mulher,https://www.youtube.com/watch?v=prNwKbJNL2g,,,full track,"This track likely features a blend of samba and pop influences, providing rich textures for sampling. Its rhythmic percussion and melodic vocal lines could be useful for creating upbeat productions or adding a Brazilian flavor to a track.",MPB,2010s,0,0,249,70516218,575712,4136,480x360,Seu Jorge,2025-04-14 12:26:06.772 Z,1,0,Seu Jorge,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Musicians Toolbox,https://www.youtube.com/watch?v=nzsL2TWk5ws,,,instrumental section,"The video likely contains a compilation of instrumental and vocal elements useful for sampling in music production, offering a variety of grooves and rhythms ideal for creating dynamic beats and textures.",Funk,1970s,0,0,119,413,13,5,480x360,The Musician's Toolbox,2025-04-15 22:00:02.191 Z,1,0,Various Artists,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
Gumbo Funk,https://www.youtube.com/watch?v=RgAfZpewN1o,,,instrumental section,"This video likely contains a groove-heavy track typical of the funk genre, useful for sampling due to its rhythmic instrumental sections and potential for breakdowns that highlight drums and bass.",Funk,1970s,0,0,280,215,8,1,480x360,Gumbo Funk,2025-04-15 22:00:02.191 Z,1,0,The Meters,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
Emile Mosseri - Jacob and the Stone | Minari (Original Motion Picture Soundtrack),https://www.youtube.com/watch?v=mbm3Llu2114,,,instrumental section,The piece likely contains emotive orchestral music that could be used for creating atmospheric or cinematic elements in a track. It may feature lush strings or piano that are useful for adding depth and emotion.,Classical,2020s,0,0,101,3773832,130832,5064,480x360,Emile Mosseri,2025-04-15 22:00:02.191 Z,1,0,Emile Mosseri,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
tofubeats - LONELY NIGHTS,https://www.youtube.com/watch?v=etXw2kp_QQI,,,full track,"This video likely contains an electronic music track from tofubeats, which could offer a range of sampling opportunities such as synthesizer riffs, electronic beats, and possibly vocal samples. It would be useful for producers looking for modern electronic textures or unique beat structures.",Electronic,2010s,0,0,218,33145673,154388,2953,480x360,Tofubeats,2025-04-15 22:00:02.191 Z,1,0,tofubeats,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
The Skatalites - Dynamite,https://www.youtube.com/watch?v=xeJHGlCaFwQ,,,instrumental section,"The video likely contains a classic ska track from The Skatalites, featuring upbeat rhythms, horn sections, and a lively tempo. It would be useful for sampling brass instrumentals and rhythmic patterns.",Reggae,1960s,0,0,196,2073492,15269,343,480x360,The Skatalites,2025-04-15 21:43:47.822 Z,1,0,The Skatalites,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Soul Makossa - Manu Dibango (Original),https://www.youtube.com/watch?v=o0CeFX6E2yI,,,instrumental section,"This video likely contains the original track 'Soul Makossa' by Manu Dibango, which is known for its infectious groove and horn sections. The song has been sampled extensively in various genres, offering a rich source of rhythmic and melodic elements for music producers. The saxophone riffs and rhythms are particularly notable for sampling.",Afrobeat,1970s,0,0,384,6611032,76201,5197,480x360,Manu Dibango,2025-04-14 12:25:11.739 Z,1,0,Manu Dibango,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Breathless (Official Music Video) | Shankar Mahadevan | Javed Akhtar,https://www.youtube.com/watch?v=nWeax5joZFw,,,isolated vocals,"The video likely contains a unique vocal performance by Shankar Mahadevan, showcasing his ability to sing continuously without pausing for breath. This can be useful for sampling isolated vocals or creating a unique remix.",World Music,1990s,0,0,175,7559894,217237,6054,480x360,Shankar Mahadevan,2025-04-17 00:00:05.825 Z,1,,Shankar Mahadevan,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
Shanghai Restoration Project - Miss Shanghai (OFFICIAL HD VERSION),https://www.youtube.com/watch?v=LW-PmNM-jdw,,,instrumental section,This video likely contains a modern electronic track with influences from traditional Chinese sounds. It could be useful for sampling unique instrumental sections or electronic beats that incorporate cultural elements.,Electronic,2000s,0,0,202,205611,2597,131,480x360,The Shanghai Restoration Project,2025-04-17 00:00:05.825 Z,1,,Shanghai Restoration Project,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
TAIKOPROJECT 2024-25 Promo Video,https://www.youtube.com/watch?v=WanY0HpFJR4,,,isolated percussion,"The video likely showcases a promotional performance by TAIKOPROJECT, a group known for their dynamic taiko drumming. This can be highly useful for sampling isolated percussion sounds, rhythms, and live performance energy, which can add a unique cultural and sonic element to a music producer's work.",World Music,2020s,0,0,94,11312,72,9,480x360,Taiko Project,2025-04-17 00:00:05.825 Z,1,,TAIKOPROJECT,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
"WGBH Music: The Chieftains ""Opening Medley"" Live from WGBH",https://www.youtube.com/watch?v=u7pDiO52xSs,,,live performance,"This video likely contains a live performance by The Chieftains, who are known for their traditional Irish folk music. This could be useful for sampling traditional instruments like the tin whistle, fiddle, or bodhrán, providing a rich, cultural texture to music productions.",Folk,2010s,0,0,422,1019012,6822,424,480x360,The Chieftains,2025-04-17 12:12:10.189 Z,1,,The Chieftains,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
"Carolina Chocolate Drops ""Cornbread and Butterbeans""",https://www.youtube.com/watch?v=1xOxHyTP91c,,,live performance,"The video likely features a live performance of 'Cornbread and Butterbeans,' showcasing traditional folk and old-time music. This could be useful for sampling acoustic instrumentation, traditional stringed instruments, and vocal harmonies, providing a rustic and authentic sound.",Folk,2010s,0,0,232,1835254,12171,811,480x360,Carolina Chocolate Drops,2025-04-17 12:12:10.189 Z,1,,Carolina Chocolate Drops,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
Tinariwen (+IO:I) - Sastanàqqàm,https://www.youtube.com/watch?v=vACZA9dGvV4,,,instrumental section,"The video likely contains traditional Tuareg music with modern influences. This could provide unique rhythmic and melodic elements for sampling, especially the use of traditional instruments and vocal styles.",World Music,2010s,0,0,203,17335921,171817,9950,480x360,Tinariwen,2025-04-14 12:25:11.739 Z,1,0,Tinariwen,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Mahmut Orhan - Feel feat. Sena Sener (Official Video) [Ultra Records],https://www.youtube.com/watch?v=rQ7tMWOCQlM,,,full track,"This video likely contains a catchy electronic track featuring vocals by Sena Sener. It's useful for sampling due to its modern production, featuring elements like lush synths, rhythmic beats, and emotive vocals that can be used in various musical contexts.",Electronic,2010s,0,0,207,517107221,2249738,57164,480x360,Mahmut Orhan,2025-04-15 13:58:02.997 Z,1,0,Mahmut Orhan,"Give me a list of 10 artists whose music features sparse arrangements and clean percussive elements, ideal for use in Afro-house or tribal edits. List only the names—no extra explanation."
Bonobo builds a fire and toasts marshmallows - Monkey Planet: Preview - BBC,https://www.youtube.com/watch?v=GQcN7lHSD5Y,,,live performance,"This video likely contains ambient sounds from nature, possibly with some narration about bonobos. It could be useful for sampling natural soundscapes, animal sounds, or spoken word segments, which can add an organic and unique layer to music production.",World Music,2010s,0,0,70,3297360,24949,2739,480x360,Bonobo,2025-04-15 13:58:02.997 Z,1,0,BBC Natural History Unit,"Give me a list of 10 artists whose music features sparse arrangements and clean percussive elements, ideal for use in Afro-house or tribal edits. List only the names—no extra explanation."
A Minha Menina,https://www.youtube.com/watch?v=XIbJylD_c84,,,instrumental section,"This track likely contains a blend of Brazilian music with psychedelic rock elements, making it useful for sampling unique rhythms, vocal styles, and instrumental sections that are characteristic of the Tropicália movement.",Tropicália,1960s,0,0,285,1924533,32127,467,480x360,Os Mutantes,2025-04-14 12:25:11.739 Z,1,0,Os Mutantes,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Hiatus Kaiyote - Nakamarra (Official Video),https://www.youtube.com/watch?v=Uo0c3TECDkM,,,instrumental section,"The video likely contains a smooth and soulful track with jazzy chords and intricate rhythms, useful for sampling its unique vocal lines, lush instrumental sections, and potential breakdowns.",Neo Soul,2010s,0,0,274,411219,11031,374,480x360,Hiatus Kaiyote,2025-04-16 00:32:10.792 Z,1,,Hiatus Kaiyote,"Give me a list of 10 lesser-known bands that often leave space for drum solos or vocal improvisation, ideal for sampling in electronic or hip-hop music. List only the names—no extra explanation."
The Internet - Special Affair/Curse (Official Video),https://www.youtube.com/watch?v=CNJkas_LiCM,,,instrumental section,"This video likely contains smooth, groovy tracks with soulful vocals and sophisticated instrumental arrangements, offering rich potential for sampling. Music producers might find isolated vocals or instrumental sections ideal for creating new Neo Soul or Hip Hop tracks.",Neo Soul,2010s,0,0,292,30454510,373450,9567,480x360,The Internet,2025-04-16 00:32:10.792 Z,1,,The Internet,"Give me a list of 10 lesser-known bands that often leave space for drum solos or vocal improvisation, ideal for sampling in electronic or hip-hop music. List only the names—no extra explanation."
"Toro Y Moi ""So Many Details""",https://www.youtube.com/watch?v=O0_ardwzTrA,,,instrumental section,"This video likely contains a track with a blend of chillwave and electronic elements. It might be useful for sampling due to its potential for lush synths and smooth melodies, ideal for creating ambient or electronic music with a modern twist.",Electronic,2010s,0,0,284,10323125,106546,5122,480x360,Toro y Moi,2025-04-16 00:32:10.792 Z,1,,Toro Y Moi,"Give me a list of 10 lesser-known bands that often leave space for drum solos or vocal improvisation, ideal for sampling in electronic or hip-hop music. List only the names—no extra explanation."
The Cinematic Orchestra - 'To Build A Home' (Official Video),https://www.youtube.com/watch?v=oUFJJNQGwhk,,,instrumental section,"The video likely features a poignant and emotional track with rich orchestration and soulful vocals, making it useful for sampling atmospheric and emotive instrumental sections or isolated vocals.",Jazz,2000s,0,0,370,138966817,1271021,24716,480x360,The Cinematic Orchestra,2025-04-16 00:32:10.792 Z,1,,The Cinematic Orchestra,"Give me a list of 10 lesser-known bands that often leave space for drum solos or vocal improvisation, ideal for sampling in electronic or hip-hop music. List only the names—no extra explanation."
Amadou & Mariam - Je pense à toi,https://www.youtube.com/watch?v=gnvJEhRNkSw,,,instrumental section,"This video likely contains a rich blend of traditional African sounds with contemporary influences, offering potential for sampling unique guitar riffs, rhythmic patterns, and soulful vocal harmonies.",World Music,1990s,0,0,248,5749919,60420,2212,480x360,Amadou & Mariam,2025-04-14 12:25:11.739 Z,1,0,Amadou & Mariam,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Ali Farka Touré & Toumani Diabaté - Debe live at Bozar,https://www.youtube.com/watch?v=pJUE03aeaQ4,,,live performance,"This video likely features a live performance of a traditional Malian music blend of blues and African rhythms, ideal for sampling intricate guitar and kora melodies, providing a unique texture for music producers looking to incorporate African elements.",World Music,2000s,0,0,367,7412996,43679,1704,480x360,Ali Farka Touré,2025-04-14 12:25:11.739 Z,1,0,Ali Farka Touré & Toumani Diabaté,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Fela Kuti - Water no get enemy,https://www.youtube.com/watch?v=IQBC5URoF0s,,,instrumental section,"This video likely contains a rich and rhythmic Afrobeat track with complex percussion, brass sections, and possibly extended instrumental sections. It would be highly useful for sampling due to its energetic grooves, distinctive instrumentation, and potential for isolated percussion or instrumental breaks.",Afrobeat,1970s,0,0,594,15930036,151176,5705,480x360,Fela Kuti,2025-04-14 12:25:11.739 Z,1,0,Fela Kuti,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Love and Death,https://www.youtube.com/watch?v=ZkHzk07vb_w,,,instrumental section,"This video likely contains a piece of classical music composed by Bernard Herrmann, which may include orchestral arrangements and dramatic motifs. It could be useful for sampling lush instrumental sections, particularly for creating cinematic or atmospheric vibes in a music production.",Classical,1970s,0,0,416,333574,6424,12,480x360,Ebo Taylor,2025-04-14 12:25:11.739 Z,1,0,Bernard Herrmann,"Give me a list of 10 artists known for having strong isolated percussion or vocal sections, ideal for sampling in Afro, Latin, funk, or world music genres. List only the names—no extra explanation."
Sofrito - Mongo Santamaria,https://www.youtube.com/watch?v=n__CQt-Xykc,,,isolated percussion,"The video likely contains a vibrant Latin Jazz track that features rhythmic percussion and brass sections. It could be useful for sampling due to its energetic percussion breaks and melodic instrumental sections, which can be used in various musical productions.",Latin Jazz,1970s,0,0,364,4334644,29062,1011,480x360,Mongo Santamaria,2025-04-12 16:21:50.545 Z,1,0,Mongo Santamaria,
MOON BOOTS-Size Guide and Try On Review (2023-2024),https://www.youtube.com/watch?v=WibHMqrqo9c,,,instrumental section,"The video likely features a try-on review of Moon Boots, possibly with background music or soundscapes that can be sampled for electronic or fashion-themed productions.",Electronic,2020s,0,0,406,35902,358,79,480x360,Moon Boots,2025-04-15 13:58:02.997 Z,1,0,Moon Boots,"Give me a list of 10 artists whose music features sparse arrangements and clean percussive elements, ideal for use in Afro-house or tribal edits. List only the names—no extra explanation."
